game_id,position,is_target,reveal_order,bone_count,total_revealed,previous_positions,previous_results,position_frequency,zone,is_safe_position,distance_from_center,adjacent_positions,corner_position,edge_position,result
cml7x5nlq02pr29egemn38m5k,10,1,1,4,8,"","",0,B,1,3,"4,5,9,14,15",0,1,1
cml7x5nlq02pr29egemn38m5k,19,0,2,4,8,"10","1",0,B,1,6,"13,14,15,18,20,23,24,25",0,0,1
cml7x5nlq02pr29egemn38m5k,13,0,3,4,8,"10,19","1,1",0,A,1,0,"7,8,9,12,14,17,18,19",0,0,1
cml7x5nlq02pr29egemn38m5k,17,0,4,4,8,"10,19,13","1,1,1",0,B,1,4,"11,12,13,16,18,21,22,23",0,0,1
cml7x5nlq02pr29egemn38m5k,7,0,5,4,8,"10,19,13,17","1,1,1,1",0,B,1,6,"1,2,3,6,8,11,12,13",0,0,0
cml7x5nlq02pr29egemn38m5k,2,0,6,4,8,"10,19,13,17,7","1,1,1,1,0",0,A,0,11,"1,3,6,7,8",0,1,0
cml7x5nlq02pr29egemn38m5k,15,0,7,4,8,"10,19,13,17,7,2","1,1,1,1,0,0",0,A,1,2,"9,10,14,19,20",0,1,0
cml7x5nlq02pr29egemn38m5k,24,0,8,4,8,"10,19,13,17,7,2,15","1,1,1,1,0,0,0",0,B,0,11,"18,19,20,23,25",0,1,0
cml7x2uvz02p029eg9cjj33ud,14,1,1,4,4,"","",0,A,1,1,"8,9,10,13,15,18,19,20",0,0,0
cml7x2uvz02p029eg9cjj33ud,13,0,2,4,4,"14","0",0,A,1,0,"7,8,9,12,14,17,18,19",0,0,0
cml7x2uvz02p029eg9cjj33ud,16,0,3,4,4,"14,13","0,0",0,B,0,3,"11,12,17,21,22",0,1,0
cml7x2uvz02p029eg9cjj33ud,22,0,4,4,4,"14,13,16","0,0,0",0,B,0,9,"16,17,18,21,23",0,1,0
cml7x1tzd02o729eglxbqcqif,13,1,1,4,6,"","",0,A,1,0,"7,8,9,12,14,17,18,19",0,0,1
cml7x1tzd02o729eglxbqcqif,18,0,2,4,6,"13","1",0,B,1,5,"12,13,14,17,19,22,23,24",0,0,1
cml7x1tzd02o729eglxbqcqif,7,0,3,4,6,"13,18","1,1",0,B,1,6,"1,2,3,6,8,11,12,13",0,0,0
cml7x1tzd02o729eglxbqcqif,17,0,4,4,6,"13,18,7","1,1,0",0,B,1,4,"11,12,13,16,18,21,22,23",0,0,0
cml7x1tzd02o729eglxbqcqif,20,0,5,4,6,"13,18,7,17","1,1,0,0",0,B,1,7,"14,15,19,24,25",0,1,0
cml7x1tzd02o729eglxbqcqif,22,0,6,4,6,"13,18,7,17,20","1,1,0,0,0",0,B,0,9,"16,17,18,21,23",0,1,0
cml7x08tq02ng29eggrzn0saa,2,1,1,4,4,"","",0,A,0,11,"1,3,6,7,8",0,1,0
cml7x08tq02ng29eggrzn0saa,6,0,2,4,4,"2","0",0,B,0,7,"1,2,7,11,12",0,1,0
cml7x08tq02ng29eggrzn0saa,8,0,3,4,4,"2,6","0,0",0,B,0,5,"2,3,4,7,9,12,13,14",0,0,0
cml7x08tq02ng29eggrzn0saa,14,0,4,4,4,"2,6,8","0,0,0",0,A,1,1,"8,9,10,13,15,18,19,20",0,0,0
cml7wzbxg02mp29egot5j4b4t,18,1,1,4,4,"","",0,B,1,5,"12,13,14,17,19,22,23,24",0,0,1
cml7wzbxg02mp29egot5j4b4t,7,0,2,4,4,"18","1",0,B,1,6,"1,2,3,6,8,11,12,13",0,0,1
cml7wzbxg02mp29egot5j4b4t,19,0,3,4,4,"18,7","1,1",0,B,1,6,"13,14,15,18,20,23,24,25",0,0,1
cml7wzbxg02mp29egot5j4b4t,10,0,4,4,4,"18,7,19","1,1,1",0,B,1,3,"4,5,9,14,15",0,1,1
cml7wxvhl02lx29egvei8umhg,14,1,1,4,5,"","",0,A,1,1,"8,9,10,13,15,18,19,20",0,0,1
cml7wxvhl02lx29egvei8umhg,19,0,2,4,5,"14","1",0,B,1,6,"13,14,15,18,20,23,24,25",0,0,0
cml7wxvhl02lx29egvei8umhg,18,0,3,4,5,"14,19","1,0",0,B,1,5,"12,13,14,17,19,22,23,24",0,0,0
cml7wxvhl02lx29egvei8umhg,20,0,4,4,5,"14,19,18","1,0,0",0,B,1,7,"14,15,19,24,25",0,1,0
cml7wxvhl02lx29egvei8umhg,21,0,5,4,5,"14,19,18,20","1,0,0,0",0,B,1,8,"16,17,22",1,1,0
cml7wwhyn02l629egk38ru4od,10,1,1,4,4,"","",0,B,1,3,"4,5,9,14,15",0,1,0
cml7wwhyn02l629egk38ru4od,3,0,2,4,4,"10","0",0,A,0,10,"2,4,7,8,9",0,1,0
cml7wwhyn02l629egk38ru4od,14,0,3,4,4,"10,3","0,0",0,A,1,1,"8,9,10,13,15,18,19,20",0,0,0
cml7wwhyn02l629egk38ru4od,25,0,4,4,4,"10,3,14","0,0,0",0,B,0,12,"19,20,24",1,1,0
cml7wvmqo02kf29egikzcyysp,15,1,1,4,4,"","",0,A,1,2,"9,10,14,19,20",0,1,0
cml7wvmqo02kf29egikzcyysp,2,0,2,4,4,"15","0",0,A,0,11,"1,3,6,7,8",0,1,0
cml7wvmqo02kf29egikzcyysp,16,0,3,4,4,"15,2","0,0",0,B,0,3,"11,12,17,21,22",0,1,0
cml7wvmqo02kf29egikzcyysp,17,0,4,4,4,"15,2,16","0,0,0",0,B,1,4,"11,12,13,16,18,21,22,23",0,0,0
cml7wsz0n02jo29egxc2aw1zt,9,1,1,4,4,"","",0,B,0,4,"3,4,5,8,10,13,14,15",0,0,0
cml7wsz0n02jo29egxc2aw1zt,13,0,2,4,4,"9","0",0,A,1,0,"7,8,9,12,14,17,18,19",0,0,0
cml7wsz0n02jo29egxc2aw1zt,15,0,3,4,4,"9,13","0,0",0,A,1,2,"9,10,14,19,20",0,1,0
cml7wsz0n02jo29egxc2aw1zt,22,0,4,4,4,"9,13,15","0,0,0",0,B,0,9,"16,17,18,21,23",0,1,0
cml7wsj8s02ix29egi0skd31n,19,1,1,4,4,"","",0,B,1,6,"13,14,15,18,20,23,24,25",0,0,1
cml7wsj8s02ix29egi0skd31n,7,0,2,4,4,"19","1",0,B,1,6,"1,2,3,6,8,11,12,13",0,0,1
cml7wsj8s02ix29egi0skd31n,20,0,3,4,4,"19,7","1,1",0,B,1,7,"14,15,19,24,25",0,1,1
cml7wsj8s02ix29egi0skd31n,10,0,4,4,4,"19,7,20","1,1,1",0,B,1,3,"4,5,9,14,15",0,1,1
cml7wqsof02i729eg4cshlmm4,23,1,1,4,4,"","",0,B,1,10,"17,18,19,22,24",0,1,0
